index,id,sub_domain,taxonomy_level
4.2.4.1,Full_Materialization_Alternatives,Knowledge Organisation,Understand
4.2.4.1.1,Reasoning_at_Query_Time,Knowledge Organisation,Understand
4.2.4.1.1.1,Top-Down_Evaluation,Knowledge Organisation,Understand
4.2.4.1.1.2,Bottom-Up_Evaluation,Knowledge Organisation,Understand
4.2.5,Reasoning_with_Existential_Rules,Knowledge Organisation,Understand
4.2.5.1,Skolen_Chase_Algorithm,Knowledge Organisation,Understand
4.2.5.2,Restricted_Chase_Algorithm,Knowledge Organisation,Understand
4.3,Fact_Checking,Knowledge Organisation,Apply
4.3.1,Misinformation_on_Web,Knowledge Organisation,Understand
4.3.2,Fact_checking_Difficulty,Knowledge Organisation,Understand
4.3.3,Fact_Checking_from_Social_Networks_and_Texts,Knowledge Organisation,Understand
4.3.4,Goals_of_Fact-checking,Knowledge Organisation,Understand
4.3.5,Previous_Works,Knowledge Organisation,Understand
4.3.5.1,Information_Credibility_Paper,Knowledge Organisation,Understand
4.3.5.2,DeClarE:_Evidence-aware_DL,Knowledge Organisation,Understand
4.3.5.3,ExFaKT,Knowledge Organisation,Understand
5,Privacy_and_Fairness_on_the_Web,Privacy,Apply
5.1,Privacy_on_the_Web,Privacy,Understand
5.1.1,Entropy,Privacy,Understand
5.1.2,DIFF-PRIV,Privacy,Understand
5.1.3,Construct_distributed_representation_of_the_topics,Privacy,Understand
5.1.4,Evaluation,Privacy,Understand
5.2,Fairness,Privacy,Understand
